ID,LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,DISTANCE FROM SCHOOL,DISTANCE FROM MARKET,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY?,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,YEARLY RENT,RULES AND REGULATION
97,Onuiyi,Self-con,Ground floor,Large,10-20 years,>30 min,>30 min,Moderately accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,400000,Moderately Strict
98,Hilltop,Single room,Ground floor,Small,10-20 years,5-15 min,<5 min,Moderately accessible,Private tap/tank in compound,Within compound,Moderately reliable,Pit Latrine,Shared,Yes,No,Yes,Secure,Tenants,Quiet,100000,Not Strict
99,Onuiyi,Flat,First Floor,Medium,>20 years,15-30 min,>30 min,Not very accessible,Tap inside the building ,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Insecure,Tenants,Quiet,140000,Not Strict
100,Onuiyi,Self-con,Second Floor,Medium,<5 years,15-30 min,>30 min,Moderately accessible,In the unit,>30 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,200000,Moderately Strict
101,Hilltop,Self-con,First Floor,Small,<5 years,>30 min,5-15 min,Not very accessible,Well outside building,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Caretaker/Cleaner,Very Quiet,200000,Moderately Strict
102,Hilltop,Self-con,Third Floor,Medium,<5 years,5-15 min,>30 min,Moderately accessible,No water..... ,15-30 min,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,No cleaning,Quiet,200000,No rules
103,Hilltop,Single room,Ground floor,Very Small,>20 years,5-15 min,15-30 min,Moderately accessible,Borehole outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,No,No,No,Insecure,Tenants,Neutral,80000,No rules
104,Greenhouse,Self-con,First Floor,Large,<5 years,>30 min,>30 min,Not accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,130000,Moderately Strict
105,Odenigwe,Self-con,First Floor,Large,<5 years,5-15 min,15-30 min,Moderately accessible,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,200000,No rules
106,Hilltop,Self-con,First Floor,Medium,10-20 years,<5 min,5-15 min,Very accessible,Private tap/tank in compound,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,240000,Not Strict
107,Odenigwe,Single room,Ground floor,Medium,<5 years,5-15 min,15-30 min,Moderately accessible,Borehole outside compound,5-15 min,Very reliable,Semi-Water Closet,Shared,Yes,No,Yes,Secure,Tenants,Neutral,70000,Moderately Strict
